component0;component1;component2;component3;component4;component5;component6;component7;component8;component9;component10;component11;component12;component13;component14;component15;component16;component17;component18;component19;component20;component21;component22;component23;component24;component25;component26;component27;component28;component29;component30;component31;component32;component33;component34;component35;component36;component37;component38;component39;component40;result
-0.7198032635408246;-0.34661635222718695;-0.26600066882596085;-0.6772518866210576;0.5026905239300515;-0.4529971551379315;0.07945894933582563;-0.31881078951531905;-0.41169569696364283;0.288949321952338;0.08910615887647103;0.15541001774118798;0.4851655036026667;-0.1374118446834928;0.10287454929317763;-0.11231027227901194;-0.06357893855198031;0.12191702489589085;0.025710647898343802;0.02734795974281462;0.005862253295658531;0.20821771241108783;-0.4918103106982015;0.006700849013529141;0.18560297784919325;-0.36503043348094455;-0.31089669528375163;-0.43473676625016155;0.13103313189535232;-0.04526343180814875;-0.2657494321183586;0.2936946175577056;0.322852997427634;-0.4475429039716991;0.7922651132302051;0.07364766829331736;0.30219245583738136;-0.18354302797124647;-0.15972173323729133;0.004550523322819536;-0.017373282829129724;15
-0.7950540921734406;-0.281660545290301;-0.3302826966615323;-0.4579786067195793;0.33269105366442503;-0.31187722531257994;-0.1179608341568033;-0.2159769943652759;-0.11338293599169823;0.13809414515049975;0.10934574671428386;0.28212022603556036;0.2822756315557257;0.014629498297642995;-0.025114706155910136;-0.005446704004721724;0.024455168002107563;-0.0857422269187755;-0.016318274913965234;0.03647320685631344;-0.0677846607687694;0.1664613241897096;-0.3591033376562607;-0.059294019281433075;0.06848029405284381;-0.07025578727844466;-0.11739574571780745;-0.3072691335077068;0.1312842636014657;-0.027076701959656953;-0.21130966101830376;0.24236427106592578;0.27838043236735927;-0.43095241693115705;0.8249145663395206;0.12641545719326958;0.4422388914447556;-0.22128825792132648;-0.40863048257439527;-0.04373451861720509;0.06786099580626583;15
-0.6726929258498543;-0.3628123615024698;-0.14569559354148637;-0.513302267124837;0.11087330392395403;-0.2058313761166806;0.20354285596975352;-0.06956939485523957;-0.3483046041565394;0.18609399047060188;-0.02211154229310064;-0.11384700151176479;0.4108289490661139;-0.06378819025480864;0.09175495432500984;-0.14277085979142168;-0.12415517236696001;0.11654623093206408;0.08095500441791412;-0.07358294151266993;0.06494646675898604;0.1245243772916913;-0.287346110264916;-0.017706322603525428;0.16778416680048158;-0.5360591522756702;-0.33752188793087323;-0.3722983183332889;0.1227946827670174;-0.08063781461554374;-0.27014820478586543;0.2776376703171293;0.3114178526245932;-0.44316596139455844;0.7838567829536442;0.0614631907520284;0.17097479608493524;-0.21259868038634722;-0.09128574975451291;0.024127389566830228;0.07301891023322488;15
-0.7000274477135061;-0.3356015842357367;-0.25313606227638186;-0.6443926107836443;0.47410378682378906;-0.4172680052401827;0.07287707387677889;-0.29133972759105786;-0.37390195986080577;0.2582535518902879;0.07881870495891505;0.13600248536040097;0.42072026287909764;-0.11987845549043907;0.08844757473828928;-0.09346325141338496;-0.052143196618013594;0.10281848257457787;0.020189586242723608;0.023633027747128436;0.004900563589149701;0.16214868879247663;-0.3801783583729338;0.007540213373867523;0.14158625961078525;-0.26579905247071955;-0.22085840760228684;-0.30366104717344156;0.08817194304498208;-0.029085562350579783;-0.17075742318227688;0.1840288539734082;0.195344436387236;-0.24497653874707423;0.3942241215144355;0.03389553310855852;0.13402374924546911;-0.056179373649439826;-0.01503800381721608;0.0027996209652240167;-0.02260447304845112;15
-0.7000274477297992;-0.3356015842318569;-0.25313606124678123;-0.6443926093323928;0.4741037836202657;-0.4172680108776984;0.0728770575689939;-0.291339727152713;-0.37390194468134996;0.25825354404044015;0.078818655499222;0.13600252644862768;0.42072023619498283;-0.11987848916380174;0.08844762446141305;-0.09346307611758246;-0.052143127684106436;0.10281829650960243;0.02018967328466927;0.023633144041433553;0.004900389552344757;0.1621499279767293;-0.3801781007731971;0.007540897139754834;0.1415857780821605;-0.26579958259466674;-0.22085653175521214;-0.3036580828256076;0.08817164008159206;-0.02908717250826487;-0.17075543056759143;0.18402734877883872;0.19534328402483597;-0.24496547734868016;0.39423917874405484;0.03388565220957514;0.1340003570670234;-0.05620707092572308;-0.015009297499624994;0.0020842488351884474;-0.018113870984410578;15
-0.795054092173438;-0.2816605452903049;-0.33028269666154675;-0.45797860671956525;0.3326910536644384;-0.3118772253126272;-0.11796083415683006;-0.2159769943652447;-0.1133829359916711;0.13809414515049667;0.1093457467143016;0.2821202260354838;0.28227563155571583;0.01462949829774044;-0.025114706155936882;-0.00544670400479867;0.0244551680020363;-0.08574222691883472;-0.016318274913929485;0.03647320685629996;-0.06778466076877751;0.16646132418965298;-0.3591033376561888;-0.059294019281495323;0.06848029405282308;-0.07025578727852971;-0.11739574571779725;-0.30726913350769747;0.13128426360144752;-0.02707670195969982;-0.21130966101825235;0.24236427106597924;0.27838043236736004;-0.4309524169311137;0.8249145663395255;0.126415457193265;0.4422388914447009;-0.22128825792137827;-0.4086304825744159;-0.04373451861722172;0.06786099580625342;15
-0.672692925849855;-0.3628123615024686;-0.14569559354147507;-0.5133022671248637;0.11087330392393267;-0.20583137611668975;0.20354285596969235;-0.06956939485527075;-0.3483046041565597;0.1860939904706096;-0.022111542293073636;-0.11384700151175874;0.4108289490660935;-0.06378819025481997;0.09175495432498068;-0.14277085979141527;-0.12415517236694577;0.11654623093202177;0.0809550044178888;-0.07358294151268395;0.0649464667590028;0.12452437729169548;-0.28734611026493984;-0.017706322603544822;0.16778416680051605;-0.5360591522755974;-0.3375218879308831;-0.3722983183332636;0.12279468276702657;-0.08063781461550575;-0.2701482047858788;0.2776376703171528;0.3114178526245796;-0.4431659613945476;0.7838567829536615;0.06146319075201869;0.17097479608491836;-0.21259868038631888;-0.09128574975452848;0.024127389566797063;0.07301891023319428;15
-0.700027447713506;-0.33560158423573627;-0.25313606227638014;-0.6443926107836492;0.47410378682377907;-0.41726800524018387;0.07287707387676776;-0.2913397275910535;-0.373901959860818;0.25825355189029225;0.0788187049589261;0.1360024853604103;0.4207202628790859;-0.11987845549045016;0.08844757473828208;-0.09346325141339389;-0.05214319661800658;0.10281848257459916;0.020189586242718625;0.02363302774713545;0.004900563589165213;0.1621486887924658;-0.3801783583729263;0.007540213373839205;0.14158625961077942;-0.26579905247068547;-0.22085840760234451;-0.3036610471734595;0.08817194304499132;-0.029085562350552242;-0.17075742318226314;0.18402885397339477;0.19534443638720944;-0.24497653874709213;0.39422412151445974;0.03389553310853189;0.13402374924547217;-0.056179373649392815;-0.015038003817154208;0.002799620965117407;-0.022604473048461624;15
-0.7000274477297992;-0.33560158423185704;-0.2531360612467815;-0.644392609332392;0.4741037836202691;-0.41726801087768967;0.0728770575690154;-0.29133972715268347;-0.37390194468136345;0.25825354404047113;0.07881865549923292;0.13600252644857877;0.42072023619495935;-0.119878489163809;0.08844762446136585;-0.09346307611759043;-0.052143127684090865;0.10281829650958864;0.020189673284643692;0.023633144041407785;0.00490038955235541;0.16214992797673547;-0.38017810077318454;0.007540897139786917;0.14158577808216255;-0.2657995825946665;-0.22085653175524902;-0.30365808282559215;0.0881716400816;-0.029087172508276696;-0.17075543056759593;0.18402734877880497;0.1953432840248166;-0.24496547734865126;0.39423917874405695;0.03388565220958784;0.13400035706701893;-0.05620707092576367;-0.015009297499575311;0.0020842488352144704;-0.018113870984294917;15
-0.7198032635408073;-0.34661635222720133;-0.2660006688260085;-0.6772518866210668;0.5026905239300411;-0.4529971551379366;0.07945894933579405;-0.3188107895153027;-0.41169569696369335;0.2889493219524057;0.08910615887652135;0.15541001774117538;0.485165503602627;-0.13741184468354878;0.10287454929314255;-0.11231027227901198;-0.06357893855196421;0.12191702489588523;0.02571064789832382;0.027347959742758;0.005862253295688684;0.2082177124110686;-0.49181031069822345;0.0067008490135470455;0.18560297784918592;-0.36503043348093167;-0.31089669528382513;-0.4347367662501611;0.13103313189536264;-0.04526343180812972;-0.26574943211835383;0.29369461755768533;0.32285299742758594;-0.44754290397166596;0.7922651132302336;0.07364766829332002;0.30219245583736537;-0.18354302797124664;-0.15972173323718294;0.004550523322783073;-0.017373282829045773;15
